,Data,Goldman Sachs Japonia (K),Goldman Sachs Zrównoważony (A),Goldman Sachs Stabilny Globalnej Dywersyfikacji (A),Goldman Sachs Konserwatywny (A),Goldman Sachs Japonia Suma,Goldman Sachs Japonia Krocząca Średnia [2d],Goldman Sachs Japonia Krocząca Średnia [5d],Goldman Sachs Japonia Krocząca Średnia [10d],Goldman Sachs Japonia Krocząca Średnia [30d],Goldman Sachs Japonia Krocząca Średnia [60d],Goldman Sachs Japonia Krocząca Średnia [120d],Goldman Sachs Japonia Krocząca Średnia [360d],Goldman Sachs Japonia Pierwsza pochodna,Goldman Sachs Japonia Druga pochodna,Goldman Sachs Zrównoważony Suma,Goldman Sachs Zrównoważony Krocząca Średnia [2d],Goldman Sachs Zrównoważony Krocząca Średnia [5d],Goldman Sachs Zrównoważony Krocząca Średnia [10d],Goldman Sachs Zrównoważony Krocząca Średnia [30d],Goldman Sachs Zrównoważony Krocząca Średnia [60d],Goldman Sachs Zrównoważony Krocząca Średnia [120d],Goldman Sachs Zrównoważony Krocząca Średnia [360d],Goldman Sachs Zrównoważony Pierwsza pochodna,Goldman Sachs Zrównoważony Druga pochodna,Goldman Sachs Stabilny Globalnej Dywersyfikacji Suma,Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [2d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [5d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [10d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [30d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [60d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [120d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Krocząca Średnia [360d],Goldman Sachs Stabilny Globalnej Dywersyfikacji Pierwsza pochodna,Goldman Sachs Stabilny Globalnej Dywersyfikacji Druga pochodna,Goldman Sachs Konserwatywny Suma,Goldman Sachs Konserwatywny Krocząca Średnia [2d],Goldman Sachs Konserwatywny Krocząca Średnia [5d],Goldman Sachs Konserwatywny Krocząca Średnia [10d],Goldman Sachs Konserwatywny Krocząca Średnia [30d],Goldman Sachs Konserwatywny Krocząca Średnia [60d],Goldman Sachs Konserwatywny Krocząca Średnia [120d],Goldman Sachs Konserwatywny Krocząca Średnia [360d],Goldman Sachs Konserwatywny Pierwsza pochodna,Goldman Sachs Konserwatywny Druga pochodna
0,2014-03-24,140.33,278.99,100.0,250.78,140.33,,,,,,,,,,278.99,,,,,,,,,,100.0,,,,,,,,,,250.78,,,,,,,,,
1,2014-03-25,140.38,280.7,100.28,250.79,280.71000000000004,140.35500000000002,,,,,,,0.04999999999998295,,559.69,279.845,,,,,,,1.7099999999999795,,200.28,100.14,,,,,,,0.28000000000000114,,501.57,250.785,,,,,,,0.009999999999990905,
2,2014-03-26,141.59,282.48,100.25,250.8,422.30000000000007,140.985,,,,,,,1.210000000000008,1.160000000000025,842.1700000000001,281.59000000000003,,,,,,,1.7800000000000296,0.07000000000005002,300.53,100.265,,,,,,,-0.030000000000001137,-0.3100000000000023,752.37,250.79500000000002,,,,,,,0.010000000000019327,2.842170943040401e-14
3,2014-03-27,142.79,282.57,100.49,250.77,565.09,142.19,,,,,,,1.1999999999999886,-0.010000000000019327,1124.74,282.525,,,,,,,0.08999999999997499,-1.6900000000000546,401.02,100.37,,,,,,,0.23999999999999488,0.269999999999996,1003.14,250.78500000000003,,,,,,,-0.030000000000001137,-0.040000000000020464
4,2014-03-28,143.98,283.37,100.63,250.82,709.07,143.385,141.814,,,,,,1.1899999999999977,-0.009999999999990905,1408.1100000000001,282.97,281.622,,,,,,0.8000000000000114,0.7100000000000364,501.65,100.56,100.33,,,,,,0.14000000000000057,-0.09999999999999432,1253.96,250.79500000000002,250.792,,,,,,0.04999999999998295,0.07999999999998408
5,2014-03-31,146.27,284.94,100.76,250.85,855.34,145.125,143.002,,,,,,2.2900000000000205,1.1000000000000227,1693.0500000000002,284.155,282.812,,,,,,1.5699999999999932,0.7699999999999818,602.41,100.695,100.482,,,,,,0.13000000000000966,-0.009999999999990905,1504.81,250.83499999999998,250.80599999999998,,,,,,0.030000000000001137,-0.01999999999998181
6,2014-04-01,146.81,285.73,100.91,250.86,1002.1500000000001,146.54000000000002,144.28799999999998,,,,,,0.539999999999992,-1.7500000000000284,1978.7800000000002,285.33500000000004,283.818,,,,,,0.7900000000000205,-0.7799999999999727,703.3199999999999,100.83500000000001,100.608,,,,,,0.14999999999999147,0.01999999999998181,1755.67,250.85500000000002,250.82000000000002,,,,,,0.010000000000019327,-0.01999999999998181
7,2014-04-02,147.94,286.77,101.0,250.84,1150.0900000000001,147.375,145.558,,,,,,1.1299999999999955,0.5900000000000034,2265.55,286.25,284.676,,,,,,1.0399999999999636,0.24999999999994316,804.3199999999999,100.955,100.758,,,,,,0.09000000000000341,-0.05999999999998806,2006.51,250.85000000000002,250.82800000000003,,,,,,-0.020000000000010232,-0.03000000000002956
8,2014-04-03,148.42,285.9,101.02,250.89,1298.5100000000002,148.18,146.684,,,,,,0.47999999999998977,-0.6500000000000057,2551.4500000000003,286.335,285.342,,,,,,-0.8700000000000045,-1.9099999999999682,905.3399999999999,101.00999999999999,100.864,,,,,,0.01999999999999602,-0.07000000000000739,2257.4,250.865,250.852,,,,,,0.04999999999998295,0.06999999999999318
9,2014-04-04,148.01,286.9,101.02,250.96,1446.5200000000002,148.21499999999997,147.49,144.652,,,,,-0.4099999999999966,-0.8899999999999864,2838.3500000000004,286.4,286.048,283.835,,,,,1.0,1.8700000000000045,1006.3599999999999,101.02,100.94200000000001,100.636,,,,,0.0,-0.01999999999999602,2508.36,250.925,250.88000000000002,250.836,,,,,0.0700000000000216,0.020000000000038654
10,2014-04-07,145.79,286.21,100.89,251.05,1592.3100000000002,146.89999999999998,147.39399999999998,145.198,,,,,-2.219999999999999,-1.8100000000000023,3124.5600000000004,286.55499999999995,286.302,284.55699999999996,,,,,-0.6899999999999977,-1.6899999999999977,1107.25,100.955,100.968,100.725,,,,,-0.12999999999999545,-0.12999999999999545,2759.4100000000003,251.005,250.92000000000002,250.86299999999997,,,,,0.09000000000000341,0.01999999999998181
11,2014-04-08,143.58,286.94,100.81,251.09,1735.89,144.685,146.748,145.51799999999997,,,,,-2.2099999999999795,0.010000000000019327,3411.5000000000005,286.575,286.544,285.181,,,,,0.7300000000000182,1.420000000000016,1208.06,100.85,100.94800000000001,100.77799999999999,,,,,-0.0799999999999983,0.04999999999999716,3010.5000000000005,251.07,250.96599999999998,250.89299999999997,,,,,0.03999999999999204,-0.05000000000001137
12,2014-04-09,140.82,286.55,100.86,251.08,1876.71,142.2,145.32399999999998,145.441,,,,,-2.7600000000000193,-0.5500000000000398,3698.0500000000006,286.745,286.5,285.588,,,,,-0.38999999999998636,-1.1200000000000045,1308.9199999999998,100.83500000000001,100.92,100.839,,,,,0.04999999999999716,0.12999999999999545,3261.5800000000004,251.085,251.01400000000004,250.921,,,,,-0.009999999999990905,-0.04999999999998295
13,2014-04-10,139.8,287.17,100.45,251.14,2016.51,140.31,143.6,145.142,,,,,-1.0199999999999818,1.7400000000000375,3985.2200000000007,286.86,286.754,286.048,,,,,0.6200000000000045,1.009999999999991,1409.37,100.655,100.80600000000001,100.83500000000001,,,,,-0.4099999999999966,-0.45999999999999375,3512.7200000000003,251.11,251.06400000000002,250.958,,,,,0.05999999999997385,0.06999999999996476
14,2014-04-11,138.88,286.63,99.96,251.12,2155.39,139.34,141.774,144.632,,,,,-0.9200000000000159,0.0999999999999659,4271.85,286.9,286.7,286.37399999999997,,,,,-0.5400000000000205,-1.160000000000025,1509.33,100.205,100.594,100.768,,,,,-0.4900000000000091,-0.0800000000000125,3763.84,251.13,251.096,250.988,,,,,-0.01999999999998181,-0.07999999999995566
15,2014-04-14,138.76,285.68,100.28,251.16,2294.1499999999996,138.82,140.368,143.881,,,,,-0.12000000000000455,0.8000000000000114,4557.530000000001,286.155,286.594,286.448,,,,,-0.9499999999999886,-0.40999999999996817,1609.61,100.12,100.47200000000001,100.72,,,,,0.3200000000000074,0.8100000000000165,4015.0,251.14,251.11800000000002,251.019,,,,,0.03999999999999204,0.05999999999997385
16,2014-04-15,139.17,283.73,100.35,251.13,2433.3199999999997,138.96499999999997,139.486,143.117,,,,,0.4099999999999966,0.5300000000000011,4841.26,284.70500000000004,285.952,286.24799999999993,,,,,-1.9499999999999886,-1.0,1709.9599999999998,100.315,100.38,100.66399999999999,,,,,0.06999999999999318,-0.2500000000000142,4266.13,251.14499999999998,251.12600000000003,251.046,,,,,-0.030000000000001137,-0.06999999999999318
17,2014-04-16,143.23,282.81,100.93,251.13,2576.5499999999997,141.2,139.968,142.64600000000002,,,,,4.060000000000002,3.6500000000000057,5124.070000000001,283.27,285.204,285.852,,,,,-0.9200000000000159,1.0299999999999727,1810.8899999999999,100.64,100.39399999999999,100.657,,,,,0.5800000000000125,0.5100000000000193,4517.26,251.13,251.13600000000002,251.075,,,,,0.0,0.030000000000001137
18,2014-04-17,142.65,284.78,100.9,251.14,2719.2,142.94,140.53799999999998,142.06900000000002,,,,,-0.5799999999999841,-4.639999999999986,5408.85,283.79499999999996,284.726,285.74,,,,,1.9699999999999704,2.8899999999999864,1911.79,100.915,100.484,100.645,,,,,-0.030000000000001137,-0.6100000000000136,4768.400000000001,251.135,251.13600000000002,251.1,,,,,0.009999999999990905,0.009999999999990905
19,2014-04-22,142.28,285.52,101.31,251.24,2861.48,142.465,141.218,141.496,,,,,-0.37000000000000455,0.20999999999997954,5694.370000000001,285.15,284.504,285.602,,,,,0.7400000000000091,-1.2299999999999613,2013.1,101.105,100.75399999999999,100.674,,,,,0.4099999999999966,0.4399999999999977,5019.64,251.19,251.16,251.128,,,,,0.10000000000002274,0.09000000000003183
20,2014-04-23,143.73,285.27,101.22,251.32,3005.21,143.005,142.212,141.29000000000002,,,,,1.4499999999999886,1.8199999999999932,5979.640000000001,285.395,284.42199999999997,285.508,,,,,-0.25,-0.9900000000000091,2114.3199999999997,101.265,100.94200000000001,100.707,,,,,-0.09000000000000341,-0.5,5270.96,251.28,251.192,251.15500000000003,,,,,0.07999999999998408,-0.020000000000038654
